chills\The BBC Sessions\Chills_10_Christmas Chimes (18-12-1988).mp3,Chills\The BBC Sessions\Chills_10_Christmas Chimes (18-12-1988).mp3,0,,
chills\The BBC Sessions\Chills_11_Effloresce and Deliquesce (18-12-1988).mp3,Chills\The BBC Sessions\Chills_11_Effloresce and Deliquesce (18-12-1988).mp3,0,,
chills\The BBC Sessions\Chills_12_Dead Web (18-12-1988).mp3,Chills\The BBC Sessions\Chills_12_Dead Web (18-12-1988).mp3,0,,
Chris Stamey\Euphoria\2. Where Does the Time Go_.mp3,2015\Where Does the Time Go-Chris Stamey.mp3,-1,,
Chris Stamey\Lovesick Blues\05_You n Me n XTC.mp3,2013\25-You n Me n XTC.mp3,-1,,
Dan Miraldi\Untame\01_Untame.mp3,2013\20-Untame.mp3,-1,,
David Myhr\Soundshine\03_Got You Where He Wanted.mp3,2012\Got You Where He Wanted - David Myhr.mp3,-1,,
Death Cab For Cutie\Codes and Keys\09 - Underneath The Sycamore.mp3,2011\Underneath The Sycamore-Death Cab for Cutie.mp3,-1,,
Destroyer\Poison Season\7. Times Square.mp3,2015\Times Square-Destroyer.mp3,-1,,
Echo And The Bunnymen\Siberia\01_Stormy Weather .mp3,2005\Echo and the Bunnymen - Stormy Weather.mp3,-1,,
Eleanor Friedberger\Personal Record\04 Eleanor Friedberger - Personal Record - Stare at the Sun.mp3,2013\17-Stare at the Sun.mp3,-1,,
Electric Prunes\A 67 Christmas\1. A 67 Christmas.mp3,Electric Prunes\A 67 Christmas\1. A 67 Christmas - Copy.mp3,1,,
Fields\7 From The Village\01_Song For The Fields.mp3,2006\07_Fields - Song For The Fields.mp3,0,,
Fleet Foxes\Helplessness Blues\01_Montezuma.mp3,2011\Montezuma-Fleet Foxes.mp3,0,,
Fountains of Wayne\Girl I Can't Forget [#].mp3,2005\Fountains Of Wayne - The Girl I Can't Forget.mp3,0,,
Fountains of Wayne\Sky Full of Holes (Amazon MP3 Exclusive Bonus Version)\08 - A Road Song.mp3,2011\A Road Song-Fountains of Wayne.mp3,-1,,
Game Theory\Dead Center [+digital booklet]\01-01- Nine Lives To Rigel Five.mp3,Game Theory\Dead Center\01-01- Nine Lives To Rigel Five.mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-03- Dead Center (French LP Version).mp3,Game Theory\Dead Center\01-03- Dead Center (French LP Version).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-04- The Red Baron.mp3,Game Theory\Dead Center\01-04- The Red Baron.mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-05- The Letter.mp3,Game Theory\Dead Center\01-05- The Letter.mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-06- Shark Pretty.mp3,Game Theory\Dead Center\01-06- Shark Pretty.mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-07- Metal And Glass Exact.mp3,Game Theory\Dead Center\01-07- Metal And Glass Exact.mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-08- Selfish Again.mp3,Game Theory\Dead Center\01-08- Selfish Again.mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-09- Too Late For Tears.mp3,Game Theory\Dead Center\01-09- Too Late For Tears.mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-10- Live In July.mp3,Game Theory\Dead Center\01-10- Live In July.mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-11- No Matter What (Demo).mp3,Game Theory\Dead Center\01-11- No Matter What (Demo).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-12- Mother Of Pearl (Live).mp3,Game Theory\Dead Center\01-12- Mother Of Pearl (Live).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-13- Nine Lives To Rigel Five (Live).mp3,Game Theory\Dead Center\01-13- Nine Lives To Rigel Five (Live).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-14- Trouble (Live).mp3,Game Theory\Dead Center\01-14- Trouble (Live).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-15- Shark Pretty (Live).mp3,Game Theory\Dead Center\01-15- Shark Pretty (Live).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-16- Gloria (Live).mp3,Game Theory\Dead Center\01-16- Gloria (Live).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-17- Too Late For Tears (Michael Qs George Martin Rough Mix).mp3,Game Theory\Dead Center\01-17- Too Late For Tears (Michael Qs George Martin Rough Mix).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-18- Radio Free Europe (Live).mp3,Game Theory\Dead Center\01-18- Radio Free Europe (Live).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-20- Sat It Aint So Joe (Radio Session).mp3,Game Theory\Dead Center\01-20- Sat It Aint So Joe (Radio Session).mp3,0,,
Game Theory\Dead Center [+digital booklet]\01-21- Dead Center (Flexi Disc Version).mp3,Game Theory\Dead Center\01-21- Dead Center (Flexi Disc Version).mp3,0,,
Glen Campbell\Capitol Years\13_Wichita_Lineman.mp3,1960s\Glen Campbell - Wichita Lineman.mp3,-1,,
Glo-Worm\Glimmer\08_Friday I'm In Love.mp3,Compilations\Wedding Playlist\Friday I'm In Love-Glo Worm.mp3,-1,,
Guided By Voices\Alien Lanes\01-A Salty Salute.mp3,Guided By Voices\A Salty Salute.mp3,1,,
Guided By Voices\Alien Lanes\03-Watch Me Jumpstart.mp3,Guided By Voices\Watch Me Jumpstart.mp3,1,,
Guided By Voices\Alien Lanes\20-Striped White Jets.mp3,Guided By Voices\Striped White Jets.mp3,1,,
Imperial Teen\Feel The Sound\02 - No Matter What You Say.mp3,2012\No Matter What You Say - Imperial Teen.mp3,-1,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\01 _I'll do the straight line_.mp3,Allyson Seconds\Bag of Kittens\01 _I'll do the straight line_.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\02 I Used To Say Your Name.mp3,Allyson Seconds\Bag of Kittens\02 I Used To Say Your Name.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\03 On A Bicycle Built For Bicycle 9.mp3,Allyson Seconds\Bag of Kittens\03 On A Bicycle Built For Bicycle 9.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\04 Boat Called Home.mp3,Allyson Seconds\Bag of Kittens\04 Boat Called Home.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\05 Obviously Love.mp3,Allyson Seconds\Bag of Kittens\05 Obviously Love.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\07 If I Could Bring You Trouble.mp3,Allyson Seconds\Bag of Kittens\07 If I Could Bring You Trouble.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\08 Dig My Pig.mp3,Allyson Seconds\Bag of Kittens\08 Dig My Pig.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\09 I'm Just A Country Girl.mp3,Allyson Seconds\Bag of Kittens\09 I'm Just A Country Girl.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\10 On A Sunny Day In Summer.mp3,Allyson Seconds\Bag of Kittens\10 On A Sunny Day In Summer.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\11 Tie My Laces.mp3,Allyson Seconds\Bag of Kittens\11 Tie My Laces.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\12 Bag Of Kittens.mp3,Allyson Seconds\Bag of Kittens\12 Bag Of Kittens.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\13 _one more time_.mp3,Allyson Seconds\Bag of Kittens\13 _one more time_.mp3,0,,
iTunes\iTunes Music\Allyson Seconds\Bag of Kittens\14 Wyndeblown.mp3,Allyson Seconds\Bag of Kittens\14 Wyndeblown.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\As Cold As Folk.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\As Cold As Folk.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\Beyond The Valley Of The Dolphins.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\Beyond The Valley Of The Dolphins.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\I've Been Craving Lately.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\I've Been Craving Lately.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\Poking Myself In The Eye To Spite My.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\Poking Myself In The Eye To Spite My.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\Ring Never Bell.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\Ring Never Bell.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\Staring At The Sun.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\Staring At The Sun.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\The Automatic Door (take 1).mp3,Anton Barbeau _ Su Jordan\The Automatic Door\The Automatic Door (take 1).mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\The Automatic Door.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\The Automatic Door.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\Went All Wrong.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\Went All Wrong.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\Who's The Pony Now.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\Who's The Pony Now.mp3,0,,
iTunes\iTunes Music\Anton Barbeau _ Su Jordan\The Automatic Door\You Can Move A Mountain.mp3,Anton Barbeau _ Su Jordan\The Automatic Door\You Can Move A Mountain.mp3,0,,
iTunes\iTunes Music\Bee Gees\Their Greatest Hits\Massachusetts.mp3,Bee Gees\Their Greatest Hits\Massachusetts.mp3,0,,
iTunes\iTunes Music\Bee Gees\Their Greatest Hits\Night Fever.mp3,Bee Gees\Their Greatest Hits\Night Fever.mp3,0,,
iTunes\iTunes Music\Bee Gees\Their Greatest Hits\You Should Be Dancing.mp3,Bee Gees\Their Greatest Hits\You Should Be Dancing.mp3,0,,
iTunes\iTunes Music\Big Star\Nobody Can Dance\Baby Strange (Live).mp3,Big Star\Nobody Can Dance\Baby Strange (Live).mp3,0,,
iTunes\iTunes Music\Big Star\Nobody Can Dance\September Gurls (Live).mp3,Big Star\Nobody Can Dance\September Gurls (Live).mp3,0,,
iTunes\iTunes Music\Big Star\Nobody Can Dance\The Letter (Live).mp3,Big Star\Nobody Can Dance\The Letter (Live).mp3,0,,
iTunes\iTunes Music\Big Star\Nobody Can Dance\You Get What You Deserve (Live).mp3,Big Star\Nobody Can Dance\You Get What You Deserve (Live).mp3,0,,
iTunes\iTunes Music\Big Star\Nobody Can Dance\You Get What You Deserve (Rehearsal).mp3,Big Star\Nobody Can Dance\You Get What You Deserve (Rehearsal).mp3,0,,
iTunes\iTunes Music\Bill Kelly\Unknown Album\Here Comes Christmas.mp3,Bill Kelly\Unknown Album\Here Comes Christmas.mp3,0,,
iTunes\iTunes Music\Bleu\L.E.O.-Demo\Freak Me Out.mp3,Bleu\L.E.O.-Demo\Freak Me Out.mp3,0,,
iTunes\iTunes Music\Buck Owens & His Buckaroos\Instrumental Hits\01 Buckaroo.mp3,Buck Owens & His Buckaroos\Instrumental Hits\01 Buckaroo.mp3,0,,
iTunes\iTunes Music\Buck Owens & His Buckaroos\Instrumental Hits\02 Orange Blossom Special.mp3,Buck Owens & His Buckaroos\Instrumental Hits\02 Orange Blossom Special.mp3,0,,
iTunes\iTunes Music\Buck Owens & His Buckaroos\Instrumental Hits\13 Act Naturally (instrumental versi.mp3,Buck Owens & His Buckaroos\Instrumental Hits\13 Act Naturally (instrumental versi.mp3,0,,
iTunes\iTunes Music\Buck Owens & His Buckaroos\Instrumental Hits\14 I've Got A Tiger By The Tail (ins.mp3,Buck Owens & His Buckaroos\Instrumental Hits\14 I've Got A Tiger By The Tail (ins.mp3,0,,
iTunes\iTunes Music\Buck Owens\Christmas Shopping\Christmas Shopping.mp3,Buck Owens\Christmas Shopping\Christmas Shopping.mp3,0,,
iTunes\iTunes Music\Buck Owens\Christmas Shopping\Tomorrow Is Christmas Day.mp3,Buck Owens\Christmas Shopping\Tomorrow Is Christmas Day.mp3,0,,
iTunes\iTunes Music\Chris Isaak\His ND Xmas\14 Christmas On TV.mp3,Chris Isaak\His ND Xmas\14 Christmas On TV.mp3,0,,
iTunes\iTunes Music\Compilations\78 'til 79 The Lost Album\Lee Remick.mp3,Compilations\78 'til 79 The Lost Album\Lee Remick.mp3,0,,
iTunes\iTunes Music\Compilations\A Little on the CD Side\Raspberry Beret.mp3,Compilations\A Little on the CD Side\Raspberry Beret.mp3,0,,
iTunes\iTunes Music\Compilations\A Little on the CD Side\Suddenly Mary.mp3,Compilations\A Little on the CD Side\Suddenly Mary.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\1941.mp3,Compilations\Aerial Pandemonium Ballet\1941.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Bath.mp3,Compilations\Aerial Pandemonium Ballet\Bath.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Closing.mp3,Compilations\Aerial Pandemonium Ballet\Closing.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Daddy's Song.mp3,Compilations\Aerial Pandemonium Ballet\Daddy's Song.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Don't Leave Me.mp3,Compilations\Aerial Pandemonium Ballet\Don't Leave Me.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Everybody's Talkin'.mp3,Compilations\Aerial Pandemonium Ballet\Everybody's Talkin'.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Fill.mp3,Compilations\Aerial Pandemonium Ballet\Fill.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Good Old Desk.mp3,Compilations\Aerial Pandemonium Ballet\Good Old Desk.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Introduction.mp3,Compilations\Aerial Pandemonium Ballet\Introduction.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Mr. Richland's Fav. Song.mp3,Compilations\Aerial Pandemonium Ballet\Mr. Richland's Fav. Song.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\One.mp3,Compilations\Aerial Pandemonium Ballet\One.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\River Deep - Mountain High.mp3,Compilations\Aerial Pandemonium Ballet\River Deep - Mountain High.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Together.mp3,Compilations\Aerial Pandemonium Ballet\Together.mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Wasting My Time (Bonus).mp3,Compilations\Aerial Pandemonium Ballet\Wasting My Time (Bonus).mp3,0,,
iTunes\iTunes Music\Compilations\Aerial Pandemonium Ballet\Without Her.mp3,Compilations\Aerial Pandemonium Ballet\Without Her.mp3,0,,
iTunes\iTunes Music\Compilations\All The Pretty Girls (Single)\01 All The Pretty Girls.mp3,Compilations\All The Pretty Girls (Single)\01 All The Pretty Girls.mp3,0,,
iTunes\iTunes Music\Compilations\An Elpee's Worth Of Productions\It's All Too Much.mp3,Compilations\An Elpee's Worth Of Productions\It's All Too Much.mp3,0,,
iTunes\iTunes Music\Compilations\Art Brut vs. Satan\05 DC Comics and Chocolate Milkshake.mp3,Compilations\Art Brut vs. Satan\05 DC Comics and Chocolate Milkshake.mp3,0,,
iTunes\iTunes Music\Compilations\Back to Life\02 Back to Life.mp3,Compilations\Back to Life\02 Back to Life.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\Got To Get You Into My Life.mp3,Compilations\Back To The Sixties (Disc 1)\Got To Get You Into My Life.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\Hippy Hippy Shake.mp3,Compilations\Back To The Sixties (Disc 1)\Hippy Hippy Shake.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\I'm Into Something Good.mp3,Compilations\Back To The Sixties (Disc 1)\I'm Into Something Good.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\Itchycoo Park.mp3,Compilations\Back To The Sixties (Disc 1)\Itchycoo Park.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\Mony Mony.mp3,Compilations\Back To The Sixties (Disc 1)\Mony Mony.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\Needles And Pins.mp3,Compilations\Back To The Sixties (Disc 1)\Needles And Pins.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\Pictures Of Matchstick Men.mp3,Compilations\Back To The Sixties (Disc 1)\Pictures Of Matchstick Men.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\Surfin' Safari.mp3,Compilations\Back To The Sixties (Disc 1)\Surfin' Safari.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\Telstar.mp3,Compilations\Back To The Sixties (Disc 1)\Telstar.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 1)\Tobacco Road.mp3,Compilations\Back To The Sixties (Disc 1)\Tobacco Road.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 2)\(There's) Always Something There To.mp3,Compilations\Back To The Sixties (Disc 2)\(There's) Always Something There To.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 2)\A World Without Love.mp3,Compilations\Back To The Sixties (Disc 2)\A World Without Love.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 2)\Go Now.mp3,Compilations\Back To The Sixties (Disc 2)\Go Now.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 2)\Michelle.mp3,Compilations\Back To The Sixties (Disc 2)\Michelle.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 2)\Out Of Time.mp3,Compilations\Back To The Sixties (Disc 2)\Out Of Time.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 2)\Sabre Dance.mp3,Compilations\Back To The Sixties (Disc 2)\Sabre Dance.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 2)\Something's Gotten Hold Of My Heart.mp3,Compilations\Back To The Sixties (Disc 2)\Something's Gotten Hold Of My Heart.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 3)\Downtown.mp3,Compilations\Back To The Sixties (Disc 3)\Downtown.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 3)\He's So Fine.mp3,Compilations\Back To The Sixties (Disc 3)\He's So Fine.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 3)\Louie Louie.mp3,Compilations\Back To The Sixties (Disc 3)\Louie Louie.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 3)\The Israelites.mp3,Compilations\Back To The Sixties (Disc 3)\The Israelites.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 3)\The Locomotion.mp3,Compilations\Back To The Sixties (Disc 3)\The Locomotion.mp3,0,,
iTunes\iTunes Music\Compilations\Back To The Sixties (Disc 3)\You Were On My Mind.mp3,Compilations\Back To The Sixties (Disc 3)\You Were On My Mind.mp3,0,,
iTunes\iTunes Music\Compilations\Call From Restricted\09 Gogol Was Rollo.mp3,Compilations\Call From Restricted\09 Gogol Was Rollo.mp3,0,,
iTunes\iTunes Music\Compilations\Catalog Sampler\01 Acid Bird.mp3,Compilations\Catalog Sampler\01 Acid Bird.mp3,0,,
iTunes\iTunes Music\Compilations\Catalog Sampler\02 City Of Shame.mp3,Compilations\Catalog Sampler\02 City Of Shame.mp3,0,,
iTunes\iTunes Music\Compilations\Catalog Sampler\03 America.mp3,Compilations\Catalog Sampler\03 America.mp3,0,,
iTunes\iTunes Music\Compilations\Catalog Sampler\04 Fifty Two Stations.mp3,Compilations\Catalog Sampler\04 Fifty Two Stations.mp3,0,,
iTunes\iTunes Music\Compilations\Catalog Sampler\15 All I Wanna Do Is Fall In Love.mp3,Compilations\Catalog Sampler\15 All I Wanna Do Is Fall In Love.mp3,0,,
iTunes\iTunes Music\Compilations\Catalog Sampler\16 Eaten By Her Own Dinner.mp3,Compilations\Catalog Sampler\16 Eaten By Her Own Dinner.mp3,0,,
iTunes\iTunes Music\Compilations\Communion\08 Flipside.mp3,Compilations\Communion\08 Flipside.mp3,0,,
iTunes\iTunes Music\Compilations\Do You Believe In Magic_Hums\Full Measure.mp3,Compilations\Do You Believe In Magic_Hums\Full Measure.mp3,0,,
iTunes\iTunes Music\Compilations\Do You Believe In Magic_Hums\Nashville Cats.mp3,Compilations\Do You Believe In Magic_Hums\Nashville Cats.mp3,0,,
iTunes\iTunes Music\Compilations\Do You Believe In Magic_Hums\Summer in the City.mp3,Compilations\Do You Believe In Magic_Hums\Summer in the City.mp3,0,,
iTunes\iTunes Music\Compilations\EMI Holidays (Disc 2)\Frosty The Snowman.mp3,Compilations\EMI Holidays (Disc 2)\Frosty The Snowman.mp3,0,,
iTunes\iTunes Music\Compilations\EMI Holidays (Disc 2)\I Wish It Could Be Christmas Everyda.mp3,Compilations\EMI Holidays (Disc 2)\I Wish It Could Be Christmas Everyda.mp3,0,,
iTunes\iTunes Music\Compilations\EMI Holidays (Disc 2)\In Dulce Jubelo.mp3,Compilations\EMI Holidays (Disc 2)\In Dulce Jubelo.mp3,0,,
iTunes\iTunes Music\Compilations\EMI Holidays (Disc 2)\Let It Snow.mp3,Compilations\EMI Holidays (Disc 2)\Let It Snow.mp3,0,,
iTunes\iTunes Music\Compilations\EMI Holidays (Disc 2)\Merry Christmas Emily.mp3,Compilations\EMI Holidays (Disc 2)\Merry Christmas Emily.mp3,0,,
iTunes\iTunes Music\Compilations\Falsch Tannenbaum\01 Mr. Big Christmas.mp3,Compilations\Falsch Tannenbaum\01 Mr. Big Christmas.mp3,0,,
iTunes\iTunes Music\Compilations\Falsch Tannenbaum\02 Come On Christmas.mp3,Compilations\Falsch Tannenbaum\02 Come On Christmas.mp3,0,,
iTunes\iTunes Music\Compilations\Falsch Tannenbaum\03 Almost Christmas Time.mp3,Compilations\Falsch Tannenbaum\03 Almost Christmas Time.mp3,0,,
iTunes\iTunes Music\Compilations\Falsch Tannenbaum\04 End Of The Year.mp3,Compilations\Falsch Tannenbaum\04 End Of The Year.mp3,0,,
iTunes\iTunes Music\Compilations\Falsch Tannenbaum\05 Fruitcake.mp3,Compilations\Falsch Tannenbaum\05 Fruitcake.mp3,0,,
iTunes\iTunes Music\Compilations\Falsch Tannenbaum\06 Got Something for You.mp3,Compilations\Falsch Tannenbaum\06 Got Something for You.mp3,0,,
iTunes\iTunes Music\Compilations\Falsch Tannenbaum\07 He's Coming Home.mp3,Compilations\Falsch Tannenbaum\07 He's Coming Home.mp3,0,,
iTunes\iTunes Music\Compilations\Falsch Tannenbaum\08 Time of The Season.mp3,Compilations\Falsch Tannenbaum\08 Time of The Season.mp3,0,,
iTunes\iTunes Music\Compilations\Falsch Tannenbaum\09 Bethlehem 9.mp3,Compilations\Falsch Tannenbaum\09 Bethlehem 9.mp3,0,,
